,population
0,11000.0
1,1250000.0
2,300.0
3,30.0
4,140.0
5,6000.0
6,18.0
7,2500.0
8,2000.0
9,7000.0
10,125.0
11,600.0
12,30000.0
13,4648.0
14,1565.0
15,76.0
16,17.0
17,350.0
18,20.0
19,65.0
20,0.0
21,6260.0
22,250.0
23,98.0
24,0.0
25,4.0
26,148.0
27,120.0
28,18.0
29,0.0
30,20000.0
31,557.0
32,11.0
33,41.0
34,240.0
35,6.0
36,20000.0
37,280.0
38,400.0
39,10000.0
40,700.0
41,0.0
42,1273.0
43,700.0
44,298.0
45,12000.0
46,1200.0
47,33.0
48,75000.0
49,0.0
50,172.0
51,21.0
52,46.0
53,150.0
54,5000.0
55,53.0
56,41.0
57,100.0
58,231.0
59,30.0
60,9.0
61,72.0
62,391.0
63,0.0
64,62.0
65,0.0
66,2450.0
67,12.0
68,0.0
69,0.0
70,1379.0
71,0.0
72,0.0
73,85000.0
74,0.0
75,0.0
76,60.0
77,30.0
78,0.0
79,73.0
80,100000.0
81,700.0
82,12.0
83,450.0
84,45.0
85,1335.0
86,90.0
87,1000.0
88,28.0
89,50000.0
90,142.0
91,1000.0
92,0.0
93,923.0
94,942.0
95,138.0
96,0.0
97,150.0
98,0.0
99,732.0
100,14.0
101,20.0
102,120.0
103,94.0
104,140.0
105,34.0
106,0.0
107,4000.0
108,56.0
109,170.0
110,0.0
111,1600.0
112,29980.0
113,6.0
114,525.0
115,300.0
116,181.0
117,1800.0
118,0.0
119,2650.0
120,15000.0
121,57.0
122,4000.0
123,54.0
124,10000.0
125,100.0
126,116.0
127,34.0
128,1000.0
129,0.0
130,0.0
131,5000.0
132,500.0
133,200.0
134,400.0
135,500000.0
136,180000.0
137,24000.0
138,0.0
139,1400.0
140,648.0
141,224.0
142,1200000.0
143,0.0
144,43.0
145,1000.0
146,100000.0
147,100.0
148,27.0
149,5.0
150,6.0
151,5000.0
152,300.0
153,100.0
154,2647.0
155,4.0
156,143000.0
157,200.0
158,3000.0
159,6.0
160,23.0
161,100.0
162,40.0
163,787.0
164,1242.0
165,110.0
166,1000.0
167,5012.0
168,0.0
169,80.0
170,500.0
171,395.0
172,17.0
173,0.0
174,203.0
175,13.0
176,739.0
177,0.0
178,0.0
179,100.0
180,600.0
181,0.0
182,12.0
183,28.0
184,0.0
185,144.0
186,2700.0
187,0.0
188,1000.0
189,268.0
190,40912.0
191,5000.0
192,3000.0
193,50.0
194,685.0
195,268.0
196,3022.0
197,246.0
198,87.0
199,0.0
200,107.0
201,27.0
202,220.0
203,3000000.0
204,2000.0
205,103.0
206,128.0
207,36.0
208,0.0
209,0.0
210,82.0
211,300.0
212,0.0
213,6.0
214,50.0
215,1836.0
216,0.0
217,0.0
218,3253.0
219,60.0
220,17.0
221,60.0
222,60.0
223,242.0
224,2000.0
225,2000.0
226,40.0
227,22.0
228,1369.0
229,1360.0
230,1901.0
231,259.0
232,586.0
233,0.0
234,1000.0
235,151.0
236,4.0
237,90.0
238,2890.0
239,1500.0
240,0.0
241,10000.0
242,3700000.0
243,190.0
244,200.0
245,1500.0
246,1300.0
247,1000.0
248,256.0
249,0.0
250,50.0
251,2500.0
252,30.0
253,151.0
254,6.0
255,1070.0
256,400.0
257,147.0
258,225.0
259,332.0
260,40.0
261,10200.0
262,18000.0
263,10.0
264,53.0
265,10.0
266,3000.0
267,13.0
268,0.0
269,116.0
270,40.0
271,500.0
272,3006.0
273,85.0
274,0.0
275,2000.0
276,120.0
277,14.0
278,100.0
279,142000.0
280,35.0
281,2150.0
282,100.0
283,60000.0
284,750.0
285,0.0
286,60000.0
287,540.0
288,6022.0
289,408.0
290,500.0
291,145.0
292,18.0
293,26.0
294,233.0
295,12.0
296,1104.0
297,1000.0
298,73.0
299,517.0
300,400.0
301,10.0
302,1193.0
303,200.0
304,455.0
305,0.0
306,390.0
307,11000.0
308,111.0
309,40.0
310,34.0
311,1.0
312,231.0
313,506.0
314,137.0
315,0.0
316,933.0
317,21.0
318,305.0
319,149.0
320,200.0
321,600.0
322,71.0
323,30000.0
324,500000.0
325,22.0
326,10.0
327,27.0
328,3.0
329,0.0
330,37.0
331,33035.0
332,0.0
333,181.0
334,20000.0
335,0.0
336,0.0
337,125.0
338,0.0
339,0.0
340,0.0
341,179.0
342,73.0
343,980.0
344,0.0
345,0.0
346,53.0
347,9.0
348,50.0
349,0.0
350,5000.0
351,147.0
352,20.0
353,6.0
354,730.0
355,15.0
356,5000.0
357,120.0
358,445.0
359,319.0
360,1200.0
361,43.0
362,61000.0
363,120.0
364,0.0
365,200.0
366,1500000.0
367,40000.0
368,30.0
369,3033.0
370,1900000.0
371,12.0
372,0.0
373,213.0
374,0.0
375,5000.0
376,1400.0
377,990.0
378,0.0
379,200.0
380,5140.0
381,0.0
382,19.0
383,10000.0
384,49.0
385,0.0
386,304.0
387,20.0
388,26.0
389,32.0
390,1223.0
391,0.0
392,0.0
393,4007.0
394,390.0
395,121.0
396,22.0
397,17.0
398,0.0
399,20.0
400,2306.0
401,4197.0
402,0.0
403,4000.0
404,0.0
405,600.0
406,196.0
407,27.0
408,17.0
409,2.0
410,0.0
411,30000.0
412,73.0
413,276.0
414,2000.0
415,1400.0
416,260.0
417,400.0
418,0.0
419,852.0
420,58.0
421,165.0
422,33.0
423,0.0
424,500.0
425,3.0
426,2000.0
427,400.0
428,2000.0
429,1930.0
430,233.0
431,257.0
432,51.0
433,0.0
434,0.0
435,200.0
436,100.0
437,910.0
438,330.0
439,1800.0
440,14.0
441,2.0
442,500.0
443,200.0
444,25.0
445,80.0
446,5131.0
447,868.0
448,2.0
449,72.0
450,165.0
451,110000.0
452,332.0
453,55.0
454,42.0
455,100.0
456,41.0
457,21.0
458,57000.0
459,1000.0
460,6000.0
461,80.0
462,40000.0
463,1000.0
464,617.0
465,1000.0
466,1000.0
467,3500.0
468,12000.0
469,320.0
470,8.0
471,87.0
472,2.0
473,1.0
474,0.0
475,500.0
476,211.0
477,50.0
478,16.0
479,1500.0
480,100.0
481,45.0
482,90.0
483,20.0
484,52.0
485,127.0
486,509.0
487,2900.0
488,83.0
489,130.0
490,84.0
491,20.0
492,33.0
493,272.0
494,100.0
495,200.0
496,92.0
497,0.0
498,4800.0
499,500.0
500,1300.0
501,225.0
502,163.0
503,154.0
504,306.0
505,943.0
506,131.0
507,50.0
508,2.0
509,500.0
510,812.0
511,500.0
512,3000.0
513,3000.0
514,1100.0
515,54.0
516,85.0
517,100.0
518,25.0
519,44.0
520,41.0
521,100.0
522,28.0
523,54.0
524,29.0
525,25.0
526,23.0
527,34.0
528,4000.0
529,6.0
530,350.0
531,400.0
532,33.0
533,176.0
534,29.0
535,140.0
536,1014.0
537,0.0
538,217.0
539,14.0
540,0.0
541,279.0
542,35.0
543,11.0
544,15.0
545,40.0
546,0.0
547,71.0
548,50.0
549,476.0
550,114.0
551,400.0
552,80.0
553,981.0
554,158.0
555,732.0
556,100.0
557,3967.0
558,279.0
559,2000.0
560,150.0
561,111.0
562,9.0
563,1237.0
564,67.0
565,376.0
566,92.0
567,1000.0
568,2000.0
569,0.0
570,210.0
571,83.0
572,32000.0
573,187.0
574,1250.0
575,0.0
576,56.0
577,262.0
578,410.0
579,37.0
580,30.0
581,2000.0
582,0.0
583,297.0
584,419.0
585,1834.0
586,30.0
587,100.0
588,60.0
589,346.0
590,13.0
591,223.0
592,0.0
593,70.0
594,16.0
595,57.0
596,3.0
597,39.0
598,10.0
599,20.0
600,8.0
601,405.0
602,120.0
603,2000.0
604,73.0
605,198.0
606,72.0
607,0.0
608,440.0
609,800.0
610,1.0
611,12.0
612,400.0
613,144.0
614,107.0
615,74.0
616,156.0
617,209.0
618,122.0
619,100.0
620,51.0
621,4.0
622,66.0
623,2000.0
624,2000.0
625,11.0
626,0.0
627,53.0
628,300.0
629,113.0
630,150.0
631,27.0
632,0.0
633,350.0
634,1000.0
635,40.0
636,44.0
637,46.0
638,103.0
639,136.0
640,107.0
641,270.0
642,50.0
643,79.0
644,200.0
645,0.0
646,138.0
647,232.0
648,11.0
649,56.0
650,112.0
651,560.0
652,77.0
653,8.0
654,187.0
655,5544.0
656,122.0
657,992.0
658,109.0
659,247.0
660,238.0
661,200.0
662,160.0
663,1200.0
664,75.0
665,89.0
666,0.0
667,26.0
668,13.0
669,53.0
670,99.0
671,79.0
672,390.0
673,360.0
674,500.0
675,0.0
676,111.0
677,0.0
678,35.0
679,8.0
680,651.0
681,5.0
682,52.0
683,0.0
684,191.0
685,1950.0
686,28.0
687,0.0
688,31.0
689,0.0
690,139.0
691,100.0
692,59.0
693,6.0
694,2000187.0
695,1784.0
696,184.0
697,43.0
698,50.0
699,621.0
700,41.0
701,5264.0
702,62.0
703,432.0
704,25.0
705,2000.0
706,960.0
707,1.0
708,0.0
709,100.0
710,48.0
711,29.0
712,16.0
713,1046.0
714,28.0
715,71.0
716,0.0
717,51.0
718,5.0
719,0.0
720,2.0
721,10000.0
722,8149.0
723,6000.0
724,57.0
725,0.0
726,15.0
727,45.0
728,237.0
729,480.0
730,12.0
731,138.0
732,41.0
733,0.0
734,12000.0
735,0.0
736,42.0
737,325.0
738,0.0
739,63.0
740,32.0
741,40.0
742,33.0
743,598.0
744,0.0
745,0.0
746,199.0
747,61.0
748,50.0
749,266.0
750,11000.0
751,275.0
752,0.0
753,30.0
754,21.0
755,43.0
756,0.0
757,7.0
758,275.0
759,400.0
760,3057.0
761,60.0
762,10.0
763,357.0
764,94.0
765,202.0
766,249.0
767,436.0
768,200.0
769,145.0
770,2.0
771,106.0
772,100.0
773,46.0
774,15.0
775,33.0
776,47.0
777,135.0
778,347.0
779,445.0
780,6.0
781,183.0
782,26.0
783,173.0
784,0.0
785,12000.0
786,16.0
787,71.0
788,290.0
789,50.0
790,41.0
791,2000.0
792,60.0
793,197.0
794,769.0
795,40.0
796,107.0
797,158.0
798,30.0
799,107.0
800,12.0
801,30.0
802,22079.0
803,0.0
804,15.0
805,1750.0
806,0.0
807,400.0
808,0.0
809,6.0
810,500.0
811,5000.0
812,1690.0
813,200.0
814,200.0
815,112.0
816,1917.0
817,11.0
818,25.0
819,133.0
820,0.0
821,116.0
822,300.0
823,10.0
824,169.0
825,0.0
826,10.0
827,150.0
828,1.0
829,0.0
830,24.0
831,15.0
832,150.0
833,26.0
834,203.0
835,1070.0
836,0.0
837,0.0
838,300.0
839,100.0
840,4.0
841,686.0
842,0.0
843,7.0
844,0.0
845,1.0
846,14.0
