,population
0,1180
1,2570
2,770
3,1960
4,1680
5,5420
6,1715
7,1060
8,1780
9,1890
10,3560
11,1160
12,1430
13,1370
14,1810
15,2950
16,1890
17,1600
18,1200
19,1250
20,1620
21,3050
22,2270
23,1070
24,2450
25,1710
26,2450
27,1400
28,1520
29,2570
30,2320
31,1190
32,2330
33,1090
34,2060
35,2300
36,1660
37,2360
38,1220
39,2620
40,2570
41,4220
42,3595
43,1570
44,1280
45,3160
46,990
47,2290
48,1250
49,2753
50,1190
51,3150
52,1410
53,1980
54,2730
55,2830
56,2250
57,2420
58,3250
59,1850
60,2150
61,1260
62,2519
63,1540
64,1660
65,2770
66,2720
67,2240
68,1000
69,3200
70,4770
71,1260
72,2750
73,2380
74,1790
75,3430
76,1760
77,1040
78,1410
79,3450
80,2350
81,1900
82,2020
83,1680
84,960
85,2140
86,2660
87,2770
88,1610
89,1030
90,1980
91,3520
92,1200
93,1580
94,1580
95,3300
96,1960
97,1160
98,1810
99,2320
100,2070
101,1980
102,2190
103,2920
104,1210
105,2340
106,1670
107,1240
108,3140
109,2030
110,2310
111,1260
112,1540
113,2080
114,3230
115,4380
116,1590
117,880
118,1570
119,1610
120,2400
121,1450
122,770
123,2100
124,2910
125,2750
126,2100
127,2160
128,2320
129,2070
130,1060
131,2010
132,3950
133,2010
134,2140
135,1320
136,2020
137,2590
138,1190
139,1170
140,1110
141,2820
142,1610
143,1060
144,2030
145,3670
146,2550
147,2420
148,2260
149,1430
150,1360
151,1110
152,1250
153,5180
154,700
155,1180
156,3960
157,2640
158,1270
159,1760
160,2060
161,1780
162,3400
163,1910
164,2020
165,1580
166,1340
167,2680
168,2680
169,1370
170,1560
171,2160
172,1340
173,3880
174,2590
175,1120
176,1970
177,1220
178,1950
179,1350
180,1670
181,2380
182,2440
183,1050
184,3130
185,4090
186,1490
187,1900
188,1330
189,2230
190,1650
191,1190
192,2140
193,2180
194,1060
195,1690
196,1970
197,2150
198,1910
199,1350
200,860
201,1940
202,1010
203,1300
204,910
205,2480
206,2440
207,1010
208,900
209,2300
210,1550
211,1270
212,2240
213,2714
214,1720
215,850
216,3300
217,2250
218,3900
219,1320
220,2760
221,1750
222,2330
223,2220
224,2020
225,1250
226,1510
227,1720
228,1430
229,1480
230,1450
231,2280
232,2940
233,1000
234,2480
235,3760
236,2220
237,1970
238,3830
239,4410
240,1430
241,830
242,1430
243,1300
244,1030
245,2740
246,3650
247,720
248,2010
249,1560
250,1810
251,3360
252,1510
253,1400
254,1730
255,1420
256,2360
257,1580
258,1230
259,2460
260,1660
261,1270
262,2100
263,770
264,760
265,1700
266,1120
267,1070
268,2070
269,5050
270,5310
271,1040
272,1700
273,1300
274,1080
275,2653
276,2290
277,3820
278,2210
279,2390
