,population
0,5650
1,7242
2,10000
3,5000
4,8080
5,101930
6,6819
7,9711
8,7470
9,6560
10,9796
11,6000
12,19901
13,9680
14,4850
15,5000
16,14040
17,4300
18,9850
19,9774
20,4980
21,44867
22,6300
23,9643
24,6500
25,4697
26,2691
27,1581
28,6380
29,7173
30,3980
31,1265
32,5000
33,3000
34,6659
35,3060
36,34848
37,6000
38,8075
39,7553
40,5520
41,24186
42,5639
43,2280
44,9656
45,13603
46,8528
47,13416
48,5963
49,65005
50,9199
51,9134
52,4080
53,8550
54,6000
55,5000
56,4495
57,4750
58,14342
59,9976
60,21235
61,8400
62,8690
63,1044
64,6000
65,3809
66,11049
67,4648
68,12070
69,20158
70,50094
71,5612
72,7807
73,5000
74,50529
75,35102
76,7300
77,5060
78,5060
79,39683
80,5100
81,5889
82,6720
83,8712
84,6634
85,3600
86,8400
87,6278
88,2040
89,1066
90,7403
91,6353
92,10500
93,5000
94,5000
95,10250
96,15681
97,6400
98,41800
99,36847
100,13241
101,3478
102,107593
103,8113
104,33919
105,10005
106,4005
107,2493
108,28037
109,12342
110,9624
111,3328
112,12600
113,5969
114,16171
115,6350
116,1102
117,6780
118,9600
119,2982
120,6474
121,9132
122,6000
123,4400
124,10204
125,17789
126,8201
127,8811
128,4960
129,4310
130,7875
131,9603
132,111078
133,2287
134,2278
135,17390
136,7840
137,10002
138,4440
139,1249
140,3200
141,9375
142,8579
143,8097
144,8517
145,315374
146,4000
147,60984
148,12500
149,3455
150,3090
151,5000
152,8200
153,19850
154,5100
155,7669
156,25245
157,7500
158,7198
159,11180
160,8632
161,9660
162,16603
163,7280
164,38332
165,7000
166,7250
167,4499
168,9750
169,8336
170,21000
171,7140
172,7912
173,35003
174,8190
175,1100
176,5400
177,4800
178,7560
179,8220
180,5797
181,5125
182,9600
183,3419
184,13412
185,12850
186,10000
187,8744
188,2400
189,10026
190,9480
191,8820
192,9897
193,7508
194,10228
195,5025
196,6480
197,4084
198,66211
199,155073
200,11725
201,14952
202,5000
203,7370
204,8450
205,11010
206,4587
207,5864
208,9600
209,3404
210,7579
211,1566
212,12032
213,17936
214,6270
215,16400
216,33474
217,5692
218,14864
219,10800
220,6440
221,9750
222,19436
223,16020
224,8379
225,7500
226,6516
227,9753
228,15246
229,4729
230,15798
231,15347
232,7350
233,10200
234,5280
235,28040
236,94300
237,4740
238,221284
239,14034
240,8505
241,6000
242,5000
243,8316
244,3060
245,11872
246,8354
247,5120
248,7312
249,3000
250,7209
251,7685
252,36224
253,3538
254,7442
255,9191
256,7620
257,11455
258,10170
259,4425
260,4400
261,8470
262,40510
263,5040
264,10079
265,7280
266,10701
267,4500
268,9900
269,20100
270,57346
271,7538
272,11390
273,5898
274,1306
275,4510
276,16258
277,26300
278,49375
279,6000
280,11325
281,5265
282,8480
283,7048
284,13959
285,8666
286,13500
287,6720
288,10300
289,14100
290,15770
291,9025
292,9528
293,11060
294,4166
295,22111
296,8959
297,7286
298,8880
299,11914
300,18641
301,7632
302,9000
303,3810
304,8750
305,3300
306,7750
307,7297
308,5000
309,10574
310,4000
311,78408
312,9050
313,12103
314,12103
315,7700
316,14052
317,64904
318,3864
319,8775
320,7119
321,16200
322,11204
323,10248
324,12092
325,12092
326,45004
327,4400
328,7636
329,10289
330,6750
331,11180
332,10530
333,5000
334,9525
335,5238
336,5569
337,3500
338,8250
339,11547
340,43995
341,8414
342,6840
343,20000
344,5823
345,7134
346,7134
347,32633
348,13464
349,7690
350,12120
351,10460
352,14400
353,3120
354,19800
355,7475
356,4862
357,9600
358,77972
359,5750
360,29970
361,11340
362,7912
363,5608
364,9570
365,40438
366,10400
367,15420
368,69415
369,7500
370,7222
371,10754
372,10754
373,9914
374,7562
375,7331
376,13500
377,7750
378,2849
379,3348
380,209959
381,14338
382,5337
383,7800
384,14984
385,11585
386,9600
387,7352
388,13780
389,10726
390,7620
391,3128
392,26977
393,12090
394,16619
395,10000
396,8800
397,25600
398,3000
399,8750
400,2096
401,16980
402,5000
403,22357
404,6753
405,2000
406,1213
407,5250
408,6957
409,40139
410,8134
411,143947
412,32239
413,7251
414,7480
415,37461
416,174240
417,9351
418,5028
419,171626
420,3960
421,9135
422,11632
423,10255
424,5120
425,8500
426,27260
427,15021
428,7680
429,4052
430,8250
431,19700
432,3277
433,2138
434,5280
435,9627
436,11800
437,8750
438,1372
439,10875
440,8230
441,11576
442,5332
443,219978
444,7980
445,9102
446,9816
